SMILES,G01,G02,G03,G04,T01,T02,T03,B01,B02,H01,Cyclic,H_298K_per_C
C(C(C(C([Pt])([Pt])[Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,1,0,0,1,2,0,13.66730723
C(C(C(C([Pt])([Pt])[Pt])([Pt])[Pt])([Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,0,0,0,2,2,0,23.24009235
C(C(C([Pt])([Pt])[Pt])(C([Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,0,1,0,0,3,0,23.386749
C1(CCCC1)[Pt],0,4,0,0,0,1,0,0,0,0,1,-7.378427332
C(C(CC[Pt])C)([Pt])[Pt],1,1,1,0,1,0,0,1,0,0,0,-6.6518294
C(C(C(C[Pt])[Pt])C)([Pt])[Pt],1,0,1,0,1,1,0,1,0,0,0,-6.902379034
C(C[Pt])(CC([Pt])C)([Pt])[Pt],1,1,0,0,1,1,0,0,1,0,0,-7.348939364
C1(C(CCC1)[Pt])[Pt],0,3,0,0,0,2,0,0,0,0,1,-7.368519256
C(C(C(C[Pt])[Pt])[Pt])([Pt])C,1,0,0,0,1,3,0,0,0,0,0,-9.072657552
C(C(C([Pt])[Pt])CC[Pt])([Pt])[Pt],0,1,1,0,1,0,0,2,0,0,0,-0.549627222
C(C(C(C[Pt])C[Pt])[Pt])([Pt])[Pt],0,0,1,0,2,1,0,1,0,0,0,-4.386443316
C(C(C(C[Pt])[Pt])[Pt])(C[Pt])[Pt],0,0,0,0,2,3,0,0,0,0,0,-6.697576226
C1(C(C(CC1)[Pt])[Pt])[Pt],0,2,0,0,0,3,0,0,0,0,1,-5.126615018
C1(CC(C(C1)[Pt])[Pt])[Pt],0,2,0,0,0,3,0,0,0,0,1,-5.92300459
C1(C(CCC1)[Pt])([Pt])[Pt],0,3,0,0,0,1,0,0,1,0,1,-4.223292596
C(C(C(C([Pt])[Pt])[Pt])[Pt])([Pt])C,1,0,0,0,0,3,0,1,0,0,0,-6.358278304
C(C([Pt])C)(C(C[Pt])[Pt])([Pt])[Pt],1,0,0,0,1,2,0,0,1,0,0,-6.654051124
C(C([Pt])[Pt])(C([Pt])[Pt])(CC[Pt])[Pt],0,1,0,0,1,0,1,2,0,0,0,-1.328585181
C(C([Pt])[Pt])(C([Pt])[Pt])(C([Pt])[Pt])C,1,0,0,1,0,0,0,3,0,0,0,3.988792582
C(C([Pt])[Pt])(C(C([Pt])[Pt])[Pt])([Pt])C,1,0,0,0,0,1,1,2,0,0,0,-2.564575302
C(C([Pt])[Pt])(CCC([Pt])[Pt])([Pt])[Pt],0,2,0,0,0,0,0,2,1,0,0,-2.104261584
C1(C(CCC1)([Pt])[Pt])([Pt])[Pt],0,3,0,0,0,0,0,0,2,0,1,-3.536156402
C(C(C([Pt])[Pt])CC([Pt])[Pt])([Pt])([Pt])[Pt],0,1,1,0,0,0,0,2,0,1,0,4.007667732
C(CC(C([Pt])([Pt])[Pt])C[Pt])([Pt])([Pt])[Pt],0,1,1,0,1,0,0,0,0,2,0,-1.11811704
C(C(C(C([Pt])[Pt])([Pt])[Pt])[Pt])([Pt])([Pt])C,1,0,0,0,0,1,0,1,2,0,0,-0.451515643
C(C(C(C[Pt])([Pt])[Pt])([Pt])[Pt])([Pt])([Pt])C,1,0,0,0,1,0,0,0,3,0,0,0.443170846
C(C(C(C([Pt])C)([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],1,0,0,0,0,2,0,0,1,1,0,-0.67101517
C(CC(C(C([Pt])[Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,1,0,0,0,1,0,1,1,1,0,1.002717775
C(C(C(CC([Pt])[Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,1,0,0,0,1,0,1,1,1,0,2.108977426
C(C(C(C([Pt])[Pt])C([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,1,0,0,1,0,2,0,1,0,5.950480372
C(C(C(C(C[Pt])[Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,1,2,0,0,1,1,0,0.451414821
C(C(C(C([Pt])[Pt])([Pt])[Pt])[Pt])(C[Pt])([Pt])[Pt],0,0,0,0,1,1,0,1,2,0,0,2.12848402
C1(C(C(C(C1[Pt])[Pt])[Pt])[Pt])([Pt])[Pt],0,0,0,0,0,4,0,0,1,0,1,1.611785864
C1(C(C(CC1[Pt])[Pt])([Pt])[Pt])([Pt])[Pt],0,1,0,0,0,2,0,0,2,0,1,3.784372688
C1(C(C(CC1)([Pt])[Pt])([Pt])[Pt])([Pt])[Pt],0,2,0,0,0,0,0,0,3,0,1,6.012788934
C(C(C([Pt])[Pt])(C(C([Pt])[Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,1,1,2,0,1,0,6.950791112
C(C(C(C(C([Pt])[Pt])[Pt])[Pt])([Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,2,0,1,1,1,0,6.675480718
C(CC(C(C([Pt])([Pt])[Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,1,0,0,0,1,0,0,1,2,0,4.737066834
C(C(CC(C([Pt])([Pt])[Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,1,0,0,0,1,0,0,1,2,0,5.297181938
C(C(C(C(C([Pt])([Pt])[Pt])[Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,3,0,0,0,2,0,3.746701094
C(C(C(C(C([Pt])[Pt])([Pt])[Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,2,0,1,1,1,0,1.793322029
C1(C(C(C(C1[Pt])[Pt])[Pt])([Pt])[Pt])([Pt])[Pt],0,0,0,0,0,3,0,0,2,0,1,6.410413228
C1(C(C(C(C1[Pt])([Pt])[Pt])[Pt])[Pt])([Pt])[Pt],0,0,0,0,0,3,0,0,2,0,1,8.64911365
C1(C(C(C(C1)[Pt])([Pt])[Pt])([Pt])[Pt])([Pt])[Pt],0,1,0,0,0,1,0,0,3,0,1,10.31938114
C(C(C(C(C([Pt])([Pt])[Pt])([Pt])[Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,2,0,0,1,2,0,6.757176564
C(C(C(C(C([Pt])([Pt])[Pt])[Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,2,0,0,1,2,0,7.694638474
C(C(C(C(C([Pt])[Pt])([Pt])[Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,1,0,1,2,1,0,9.84535472
C(C(C(C([Pt])[Pt])([Pt])[Pt])([Pt])[Pt])(C([Pt])[Pt])([Pt])[Pt],0,0,0,0,0,0,0,2,3,0,0,11.90104501
C(C(C(C(C([Pt])[Pt])([Pt])[Pt])([Pt])[Pt])([Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,0,0,1,3,1,0,16.1648366
C(C(C(C(C([Pt])([Pt])[Pt])([Pt])[Pt])([Pt])[Pt])([Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,0,0,0,3,2,0,19.9114061
C(C(C([Pt])([Pt])[Pt])(C(C([Pt])([Pt])[Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,0,1,0,1,3,0,24.18152732
C(CC)(CC)([Pt])C,3,2,0,0,0,0,1,0,0,0,0,-8.84989859
C(C([Pt])[Pt])(CC)(C[Pt])C,2,1,0,1,1,0,0,1,0,0,0,-7.31442992
C(C(CC[Pt])C)([Pt])([Pt])C,2,1,1,0,1,0,0,0,1,0,0,-6.565942057
C1(CCCCC1)[Pt],0,5,0,0,0,1,0,0,0,0,1,-8.402592697
C1(C(CCCC1)[Pt])[Pt],0,4,0,0,0,2,0,0,0,0,1,-7.075956385
C(C(CC)C[Pt])(C[Pt])([Pt])[Pt],1,1,1,0,2,0,0,0,1,0,0,-4.223676603
C(C(CC([Pt])[Pt])C)([Pt])([Pt])C,2,1,1,0,0,0,0,1,1,0,0,-3.217144473
C1(CCC(C[Pt])C1)[Pt],0,3,1,0,1,1,0,0,0,0,1,-6.601637048
C1(CCCCC1)([Pt])[Pt],0,5,0,0,0,0,0,0,1,0,1,-5.974342807
C(C(C[Pt])([Pt])[Pt])(CC[Pt])([Pt])C,1,1,0,0,2,0,1,0,1,0,0,-5.735645337
C1(C(C(CCC1)[Pt])[Pt])[Pt],0,3,0,0,0,3,0,0,0,0,1,-7.791889528
C1(CCC(C(C1)[Pt])[Pt])[Pt],0,3,0,0,0,3,0,0,0,0,1,-6.667864183
C(C([Pt])[Pt])(C(C([Pt])C)C[Pt])([Pt])[Pt],1,0,1,0,1,1,0,1,1,0,0,-1.692870877
C(C(C(C(C[Pt])[Pt])[Pt])[Pt])(C[Pt])[Pt],0,0,0,0,2,4,0,0,0,0,0,-6.588993602
C1(C(CCCC1)([Pt])[Pt])([Pt])[Pt],0,4,0,0,0,0,0,0,2,0,1,-4.963841117
C(C(C(C(C([Pt])[Pt])[Pt])[Pt])[Pt])([Pt])C,1,0,0,0,0,4,0,1,0,0,0,-5.431781473
C(CC(CC(C[Pt])[Pt])([Pt])[Pt])([Pt])([Pt])[Pt],0,2,0,0,1,1,0,0,1,1,0,-1.7085797
C(C(C([Pt])[Pt])[Pt])(C(C([Pt])C)[Pt])([Pt])[Pt],1,0,0,0,0,3,0,1,1,0,0,-3.629752932
C(C(C(C(C(C[Pt])[Pt])[Pt])[Pt])[Pt])([Pt])[Pt],0,0,0,0,1,4,0,1,0,0,0,-3.86859638
C(C(C[Pt])[Pt])(C(C(C[Pt])[Pt])[Pt])([Pt])[Pt],0,0,0,0,2,3,0,0,1,0,0,-4.059308742
C(C(C(C([Pt])([Pt])[Pt])C[Pt])([Pt])[Pt])([Pt])([Pt])C,1,0,1,0,1,0,0,0,2,1,0,2.383673532
C(C(C[Pt])([Pt])[Pt])(CC(C([Pt])[Pt])[Pt])([Pt])[Pt],0,1,0,0,1,1,0,1,2,0,0,-0.75357434
C(C([Pt])[Pt])(C(C(C([Pt])C)([Pt])[Pt])[Pt])([Pt])[Pt],1,0,0,0,0,2,0,1,2,0,0,-1.099803955
C(C(C(C(C[Pt])[Pt])([Pt])[Pt])([Pt])[Pt])([Pt])([Pt])C,1,0,0,0,1,1,0,0,3,0,0,0.419457722
C(C(C(C(C[Pt])[Pt])([Pt])[Pt])[Pt])(C[Pt])([Pt])[Pt],0,0,0,0,2,2,0,0,2,0,0,-0.790387117
C(C([Pt])[Pt])(C(C(C([Pt])[Pt])C([Pt])[Pt])[Pt])([Pt])[Pt],0,0,1,0,0,1,0,3,1,0,0,5.797136777
C(C(C(C([Pt])[Pt])(C[Pt])[Pt])C([Pt])[Pt])([Pt])([Pt])[Pt],0,0,1,0,1,0,1,2,0,1,0,5.997291013
C(C(C(C(C([Pt])([Pt])[Pt])[Pt])([Pt])[Pt])[Pt])([Pt])([Pt])C,1,0,0,0,0,2,0,0,2,1,0,1.147548453
C(C(C(C(C([Pt])[Pt])([Pt])[Pt])[Pt])([Pt])[Pt])([Pt])([Pt])C,1,0,0,0,0,1,0,1,3,0,0,1.353809538
C(C(C[Pt])[Pt])(C(C(C([Pt])[Pt])([Pt])[Pt])[Pt])([Pt])[Pt],0,0,0,0,1,2,0,1,2,0,0,0.585206375
C(C(C(C(C([Pt])[Pt])[Pt])([Pt])[Pt])[Pt])(C[Pt])([Pt])[Pt],0,0,0,0,1,2,0,1,2,0,0,0.259121136
C(C(C(C([Pt])([Pt])[Pt])(CC([Pt])[Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,1,0,0,0,1,1,1,0,2,0,4.359691935
C(CC(C(C(C([Pt])([Pt])[Pt])([Pt])[Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,1,0,0,0,1,0,0,2,2,0,9.376261333
C(C(C(C(C(C([Pt])[Pt])([Pt])[Pt])[Pt])[Pt])([Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,2,0,1,2,1,0,4.933084222
C(C(C(C(C(C([Pt])([Pt])[Pt])([Pt])[Pt])[Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,3,0,0,1,2,0,3.642099878
C(C(C(CC(C([Pt])([Pt])[Pt])([Pt])[Pt])[Pt])([Pt])[Pt])([Pt])([Pt])[Pt],0,1,0,0,0,1,0,0,2,2,0,7.392355707
C1(C(C(C(C(C1[Pt])([Pt])[Pt])[Pt])([Pt])[Pt])[Pt])([Pt])[Pt],0,0,0,0,0,3,0,0,3,0,1,12.99425187
C1(C(C(C(C(C1[Pt])([Pt])[Pt])([Pt])[Pt])[Pt])[Pt])([Pt])[Pt],0,0,0,0,0,3,0,0,3,0,1,10.31391051
C1(C(C(C(C(C1)([Pt])[Pt])([Pt])[Pt])[Pt])([Pt])[Pt])([Pt])[Pt],0,1,0,0,0,1,0,0,4,0,1,9.704115448
C(C(C([Pt])([Pt])[Pt])(C(C(C([Pt])[Pt])([Pt])[Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,1,1,1,1,2,0,11.82819119
C(C(C(C(C(C([Pt])([Pt])[Pt])([Pt])[Pt])([Pt])[Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,2,0,0,2,2,0,8.251859742
C(C(C(C(C(C([Pt])([Pt])[Pt])([Pt])[Pt])[Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,2,0,0,2,2,0,9.672476172
C(C(C(C(C(C([Pt])([Pt])[Pt])[Pt])([Pt])[Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,2,0,0,2,2,0,9.747795737
C(C(C(C(C(C([Pt])([Pt])[Pt])([Pt])[Pt])[Pt])[Pt])([Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,2,0,0,2,2,0,7.878626577
C(C(C([Pt])([Pt])[Pt])(C(C(C([Pt])[Pt])([Pt])[Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,0,1,1,2,2,0,18.76438512
C(C(C(C(C(C([Pt])[Pt])([Pt])[Pt])([Pt])[Pt])([Pt])[Pt])([Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,0,0,1,4,1,0,15.86278457
C1(C(C(C(C(C1[Pt])([Pt])[Pt])([Pt])[Pt])([Pt])[Pt])([Pt])[Pt])([Pt])[Pt],0,0,0,0,0,1,0,0,5,0,1,16.1944166
C(C(C(C(C(C([Pt])([Pt])[Pt])([Pt])[Pt])([Pt])[Pt])([Pt])[Pt])([Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,0,0,0,4,2,0,18.58709198
C1(C(C(C(C(C1([Pt])[Pt])([Pt])[Pt])([Pt])[Pt])([Pt])[Pt])([Pt])[Pt])([Pt])[Pt],0,0,0,0,0,0,0,0,6,0,1,20.48229965
C(C(C([Pt])([Pt])[Pt])(C(C([Pt])([Pt])[Pt])(C([Pt])([Pt])[Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,0,2,0,0,4,0,23.02122508
C(CCCC[Pt])C,1,4,0,0,1,0,0,0,0,0,0,-10.60990979
C(CC)(CCC)[Pt],2,3,0,0,0,1,0,0,0,0,0,-9.692087427
C(CCCC)([Pt])C,2,3,0,0,0,1,0,0,0,0,0,-10.38676311
C(CC[Pt])(CCC)[Pt],1,3,0,0,1,1,0,0,0,0,0,-8.985466707
C(CCC(C[Pt])[Pt])C,1,3,0,0,1,1,0,0,0,0,0,-7.409685125
C(CC(CC)[Pt])([Pt])C,2,2,0,0,0,2,0,0,0,0,0,-9.647047877
C(C(CCC)[Pt])([Pt])C,2,2,0,0,0,2,0,0,0,0,0,-8.262225613
C(C(CC)[Pt])(CC)[Pt],2,2,0,0,0,2,0,0,0,0,0,-8.292886533
C(CCCC)([Pt])([Pt])C,2,3,0,0,0,0,0,0,1,0,0,-7.584765158
C(CC)(CCC)([Pt])[Pt],2,3,0,0,0,0,0,0,1,0,0,-7.365578538
C(CC)(CCC[Pt])[Pt],1,3,0,0,1,1,0,0,0,0,0,-8.50681881
C(CCCCC[Pt])[Pt],0,4,0,0,2,0,0,0,0,0,0,-9.003789995
C(CCC([Pt])C)([Pt])C,2,2,0,0,0,2,0,0,0,0,0,-8.795524977
C(CCCCC)([Pt])([Pt])[Pt],1,4,0,0,0,0,0,0,0,1,0,-8.618119727
C(C(C[Pt])[Pt])(CCC)[Pt],1,2,0,0,1,2,0,0,0,0,0,-8.347296693
C(C[Pt])(CCCC)([Pt])[Pt],1,3,0,0,1,0,0,0,1,0,0,-7.615675275
C(C(C(CC)[Pt])[Pt])([Pt])C,2,1,0,0,0,3,0,0,0,0,0,-9.036265327
C(C([Pt])C)(CCC)([Pt])[Pt],2,2,0,0,0,1,0,0,1,0,0,-8.446868283
C(C(CCC)[Pt])([Pt])([Pt])C,2,2,0,0,0,1,0,0,1,0,0,-8.82167589
C(C(CC)[Pt])(CC)([Pt])[Pt],2,2,0,0,0,1,0,0,1,0,0,-8.848422885
C(CC(C([Pt])C)[Pt])([Pt])C,2,1,0,0,0,3,0,0,0,0,0,-9.343106682
C(C[Pt])(CC(CC)[Pt])[Pt],1,2,0,0,1,2,0,0,0,0,0,-8.624525503
C(C(CC)[Pt])(CC[Pt])[Pt],1,2,0,0,1,2,0,0,0,0,0,-8.68022679
C(CC(CCC)[Pt])([Pt])[Pt],1,3,0,0,0,1,0,1,0,0,0,-6.872361762
C(CC[Pt])(CCC)([Pt])[Pt],1,3,0,0,1,0,0,0,1,0,0,-7.543544278
C(CC(CC)[Pt])([Pt])([Pt])C,2,2,0,0,0,1,0,0,1,0,0,-7.43032341
C(CC)(CC([Pt])C)([Pt])[Pt],2,2,0,0,0,1,0,0,1,0,0,-7.87878396
C(CCC[Pt])(CC[Pt])[Pt],0,3,0,0,2,1,0,0,0,0,0,-8.015058888
C(C[Pt])(CCCC[Pt])[Pt],0,3,0,0,2,1,0,0,0,0,0,-7.42994466
C(CCC([Pt])C)([Pt])([Pt])C,2,2,0,0,0,1,0,0,1,0,0,-6.895608028
C(CC)(CCC[Pt])([Pt])[Pt],1,3,0,0,1,0,0,0,1,0,0,-6.61495553
C(CCC(CC)[Pt])([Pt])[Pt],1,3,0,0,0,1,0,1,0,0,0,-5.885583653
C(CCCCC[Pt])([Pt])[Pt],0,4,0,0,1,0,0,1,0,0,0,-5.100005237
C(C(CCCC)[Pt])([Pt])([Pt])[Pt],1,3,0,0,0,1,0,0,0,1,0,-6.336550188
C(C(CCC)([Pt])[Pt])([Pt])([Pt])C,2,2,0,0,0,0,0,0,2,0,0,-7.254475448
